spine_num,title,director,release_year
193,Quai des Orfèvres,Henri-Georges Clouzot,1947
383,Brute Force,Jules Dassin,1947
652,Monsieur Verdoux,Charlie Chaplin,1947
750,Ride the Pink Horse,Robert Montgomery,1947
754,Odd Man Out,Carol Reed,1947
955,Panique,Julien Duvivier,1947
32,Oliver Twist,David Lean,1948
44,The Red Shoes,Michael Powell & Emeric Pressburger,1948
82,Hamlet,Laurence Olivier,1948
292,Unfaithfully Yours,Preston Sturges,1948
357,The Fallen Idol,Carol Reed,1948
374,Bicycle Thieves,Vittorio De Sica,1948
380,The Naked City,Jules Dassin,1948
413,Drunken Angel,Akira Kurosawa,1948
499,Germany@ Year Zero,Roberto Rossellini,1948
709,Red River,Howard Hawks,1948
880,They Live by Night,Nicholas Ray,1948
921,Moonrise,Frank Borzage,1948
64,The Third Man,Carol Reed,1949
68,Orpheus,Jean Cocteau,1949
233,Stray Dog,Akira Kurosawa,1949
273,Thieves' Highway,Jules Dassin,1949
325,Kind Hearts and Coronets,Robert Hamer,1949
331,Late Spring,Yasujirō Ozu,1949
441,The Small Back Room,Michael Powell & Emeric Pressburger,1949
730,Jour de fête,Jacques Tati,1949
755,Le silence de la mer,Jean-Pierre Melville,1949
792,Bitter Rice,Giuseppe De Santis,1949
974,The Heiress,William Wyler,1949
81,Variety Lights,Federico Fellini & Alberto Lattuada,1950
138,Rashomon,Akira Kurosawa,1950
274,Night and the City,Jules Dassin,1950
293,The Flowers of St. Francis,Roberto Rossellini,1950
398,Les enfants terribles,Jean-Pierre Melville,1950
435,The Furies,Anthony Mann,1950
443,La ronde,Max Ophüls,1950
673,Stromboli,Roberto Rossellini,1950
810,In a Lonely Place,Nicholas Ray,1950
847,The Asphalt Jungle,John Huston,1950
889,The Breaking Point,Michael Curtiz,1950
1003,All About Eve,Joseph L. Mankiewicz,1950
222,Diary of a Country Priest,Robert Bresson,1951
240,Early Summer,Yasujirō Ozu,1951
276,The River,Jean Renoir,1951
294,The Browning Version,Anthony Asquith,1951
317,The Tales of Hoffmann,Michael Powell & Emeric Pressburger,1951
318,Forbidden Games,René Clément,1951
396,Ace in the Hole,Billy Wilder,1951
416,Miss Julie,Alf Sjöberg,1951
613,Summer Interlude,Ingmar Bergman,1951
891,La poison,Sacha Guitry,1951
158,The Importance of Being Earnest,Anthony Asquith,1952
189,The White Sheik,Federico Fellini,1952
201,Umberto D.,Vittorio De Sica,1952
221,Ikiru,Akira Kurosawa,1952
270,Casque d'or,Jacques Becker,1952
444,Le plaisir,Max Ophüls,1952
451,Fanfan la Tulipe,Christian Jaque,1952
664,The Life of Oharu,Kenji Mizoguchi,1952
674,Europa '51,Roberto Rossellini,1952
756,Limelight,Charlie Chaplin,1952
870,Othello,Orson Welles,1952
989,The Flavor of Green Tea over Rice,Yasujirō Ozu,1952
36,The Wages of Fear,Henri-Georges Clouzot,1953
110,Monsieur Hulot's Holiday,Jacques Tati,1953
202,Indiscretion of an American Wife,Vittorio De Sica,1953
217,Tokyo Story,Yasujirō Ozu,1953
224,Pickup on South Street,Samuel Fuller,1953
242,The Golden Coach,Jean Renoir,1953
246,I vitelloni,Federico Fellini,1953
309,Ugetsu,Kenji Mizoguchi,1953
412,Sawdust and Tinsel,Ingmar Bergman,1953
445,The Earrings of Madame de...,Max Ophüls,1953
614,Summer with Monika,Ingmar Bergman,1953
653,Gate of Hell,Teinosuke Kinugasa,1953
1037,The War of the Worlds,Byron Haskin,1953
2,Seven Samurai,Akira Kurosawa,1954
14,Samurai I: Musashi Miyamoto,Hiroshi Inagaki,1954
35,Diabolique,Henri-Georges Clouzot,1954
219,La strada,Federico Fellini,1954
271,Touchez pas au grisbi,Jacques Becker,1954
386,Sansho the Bailiff,Kenji Mizoguchi,1954
442,Twenty-Four Eyes,Keisuke Kinoshita,1954
457,Magnificent Obsession,Douglas Sirk,1954
461,Hobson's Choice,David Lean,1954
556,Senso,Luchino Visconti,1954
594,Godzilla,Ishirō Honda,1954
647,On the Waterfront,Elia Kazan,1954
675,Journey to Italy,Roberto Rossellini,1954
704,Riot in Cell Block 11,Don Siegel,1954
949,A Story from Chikamatsu,Kenji Mizoguchi,1954
1046,After the Curfew,Usmar Ismail,1954
15,Samurai II: Duel at Ichijoji Temple,Hiroshi Inagaki,1955
22,Summertime,David Lean,1955
95,All That Heaven Allows,Douglas Sirk,1955
115,Rififi,Jules Dassin,1955
126,Ordet,Carl Theodor Dreyer,1955
197,Night and Fog,Alain Resnais,1955
213,Richard III,Laurence Olivier,1955
237,Smiles of a Summer Night,Ingmar Bergman,1955
243,French Cancan,Jean Renoir,1955
283,A Generation,Andrzej Wajda,1955
322,The Complete Mr. Arkadin,Orson Welles,1955
427,Death of a Cyclist,Juan Antonio Bardem,1955
503,Lola Montès,Max Ophüls,1955
541,The Night of the Hunter,Charles Laughton,1955
568,Kiss Me Deadly,Robert Aldrich,1955
784,Pather Panchali,Satyajit Ray,1955
817,Le amiche,Michelangelo Antonioni,1955
1015,Journey to the Beginning of Time,Karel Zeman,1955
16,Samurai III: Duel at Ganryu Island,Hiroshi Inagaki,1956
77,And God Created Woman,Roger Vadim,1956
96,Written on the Wind,Douglas Sirk,1956
150,Bob le flambeur,Jean-Pierre Melville,1956
244,Elena and Her Men,Jean Renoir,1956
295,Crazed Fruit,Kō Nakahira,1956
379,The Burmese Harp,Kon Ichikawa,1956
419,La Pointe Courte,Agnès Varda,1956
507,Bigger Than Life,Nicholas Ray,1956
575,The Killing,Stanley Kubrick,1956
650,A Man Escaped,Robert Bresson,1956
656,Jubal,Delmer Daves,1956
785,Aparajito,Satyajit Ray,1956
11,The Seventh Seal,Ingmar Bergman,1957
49,Nights of Cabiria,Federico Fellini,1957
139,Wild Strawberries,Ingmar Bergman,1957
146,The Cranes Are Flying,Mikhail Kalatozov,1957
190,Throne of Blood,Akira Kurosawa,1957
284,Kanał,Andrzej Wajda,1957
296,Le notti bianche,Luchino Visconti,1957
335,Elevator to the Gallows,Louis Malle,1957
538,Paths of Glory,Stanley Kubrick,1957
555,Sweet Smell of Success,Alexander Mackendrick,1957
591,12 Angry Men,Sidney Lumet,1957
657,3:10 to Yuma,Delmer Daves,1957
954,Forty Guns,Samuel Fuller,1957
970,A Face in the Crowd,Elia Kazan,1957
7,A Night to Remember,Roy Ward Baker,1958
91,The Blob,Irvin S. Yeaworth,1958
92,Fiend Without a Face,Arthur Crabtree,1958
111,Mon oncle,Jacques Tati,1958
113,Big Deal on Madonna Street,Mario Monicelli,1958
116,The Hidden Fortress,Akira Kurosawa,1958
