release_year,title,director,spine_num,tmdb_id,iffy
1944,The Uninvited,Lewis Allen,677,16373,False
1945,Brief Encounter,David Lean,76,851,False
1945,I Know Where I'm Going!,Michael Powell & Emeric Pressburger,94,56137,False
1945,Spellbound,Alfred Hitchcock,136,4174,True
1945,Children of Paradise,Marcel Carné,141,2457,False
1945,Les dames du Bois de Boulogne,Robert Bresson,183,49845,False
1945,Rome@ Open City,Roberto Rossellini,497,307,False
1945,Blithe Spirit,David Lean,606,19072,False
1945,Mildred Pierce,Michael Curtiz,860,3309,False
1945,Detour,Edgar G. Ulmer,966,20367,False
1945,Leave Her to Heaven,John M. Stahl,1020,17645,False
1946,Beauty and the Beast,Jean Cocteau,6,648,False
1946,Great Expectations,David Lean,31,14320,False
1946,Notorious,Alfred Hitchcock,137,303,True
1946,Green for Danger,Sidney Gilliat,375,29589,False
1946,Paisan,Roberto Rossellini,498,8429,False
1946,My Darling Clementine,John Ford,732,3088,False
1946,Gilda,Charles Vidor,795,3767,False
1946,A Matter of Life and Death,Michael Powell & Emeric Pressburger,939,28162,False
1946,Cluny Brown,Ernst Lubitsch,997,52270,False
1947,Black Narcissus,Michael Powell Emeric Pressburger,93,16391,False
1947,Quai des Orfèvres,Henri-Georges Clouzot,193,49842,False
1947,Brute Force,Jules Dassin,383,28297,False
1947,Monsieur Verdoux,Charlie Chaplin,652,30588,False
1947,Ride the Pink Horse,Robert Montgomery,750,18871,False
1947,Odd Man Out,Carol Reed,754,43461,False
1947,Panique,Julien Duvivier,955,43462,False
1948,Oliver Twist,David Lean,32,10949,False
1948,The Red Shoes,Michael Powell & Emeric Pressburger,44,19542,False
1948,Hamlet,Laurence Olivier,82,23383,False
1948,Unfaithfully Yours,Preston Sturges,292,33115,False
1948,The Fallen Idol,Carol Reed,357,21631,False
1948,Bicycle Thieves,Vittorio De Sica,374,5156,False
1948,The Naked City,Jules Dassin,380,20482,False
1948,Drunken Angel,Akira Kurosawa,413,25858,False
1948,Germany@ Year Zero,Roberto Rossellini,499,8016,False
1948,Red River,Howard Hawks,709,3089,False
1948,They Live by Night,Nicholas Ray,880,44190,False
1948,Moonrise,Frank Borzage,921,28392,False
1949,The Third Man,Carol Reed,64,1092,False
1949,Stray Dog,Akira Kurosawa,233,30368,False
1949,Thieves' Highway,Jules Dassin,273,20025,False
1949,Kind Hearts and Coronets,Robert Hamer,325,11898,False
1949,Late Spring,Yasujirō Ozu,331,20530,False
1949,The Small Back Room,Michael Powell & Emeric Pressburger,441,46096,False
1949,Jour de fête,Jacques Tati,730,4595,False
1949,Le silence de la mer,Jean-Pierre Melville,755,40650,False
1949,Bitter Rice,Giuseppe De Santis,792,31058,False
1949,The Heiress,William Wyler,974,28571,True
1950,Variety Lights,Federico Fellini & Alberto Lattuada,81,43389,False
1950,Rashomon,Akira Kurosawa,138,548,False
1950,Night and the City,Jules Dassin,274,19119,False
1950,The Flowers of St. Francis,Roberto Rossellini,293,56518,False
1950,Les enfants terribles,Jean-Pierre Melville,398,15390,False
1950,The Furies,Anthony Mann,435,28304,False
1950,Stromboli,Roberto Rossellini,673,4173,False
1950,In a Lonely Place,Nicholas Ray,810,17057,False
1950,The Asphalt Jungle,John Huston,847,16958,False
1950,The Breaking Point,Michael Curtiz,889,37954,False
1950,All About Eve,Joseph L. Mankiewicz,1003,705,False
1951,Diary of a Country Priest,Robert Bresson,222,43376,False
1951,Early Summer,Yasujirō Ozu,240,50247,False
1951,The River,Jean Renoir,276,45218,False
1951,The Browning Version,Anthony Asquith,294,39946,False
1951,The Tales of Hoffmann,Michael Powell & Emeric Pressburger,317,44334,False
1951,Ace in the Hole,Billy Wilder,396,25364,False
1951,Miss Julie,Alf Sjöberg,416,18650,False
1951,Summer Interlude,Ingmar Bergman,613,47473,False
1951,La poison,Sacha Guitry,891,65534,False
1952,The Importance of Being Earnest,Anthony Asquith,158,20324,False
1952,The White Sheik,Federico Fellini,189,43361,False
1952,Umberto D.,Vittorio De Sica,201,833,False
1952,Ikiru,Akira Kurosawa,221,3782,False
1952,Casque d'or,Jacques Becker,270,68822,False
1952,Le plaisir,Max Ophüls,444,43360,False
1952,Fanfan la Tulipe,Christian Jaque,451,62547,False
1952,The Life of Oharu,Kenji Mizoguchi,664,43364,False
1952,Europa '51,Roberto Rossellini,674,41464,False
1952,Limelight,Charlie Chaplin,756,28971,False
1952,The Flavor of Green Tea over Rice,Yasujirō Ozu,989,55197,False
1953,The Wages of Fear,Henri-Georges Clouzot,36,204,False
1953,Monsieur Hulot's Holiday,Jacques Tati,110,778,False
1953,Indiscretion of an American Wife,Vittorio De Sica,202,74585,False
1953,Tokyo Story,Yasujirō Ozu,217,18148,False
1953,Pickup on South Street,Samuel Fuller,224,25955,False
1953,The Golden Coach,Jean Renoir,242,56167,False
1953,I vitelloni,Federico Fellini,246,12548,False
1953,Ugetsu,Kenji Mizoguchi,309,14696,False
1953,Sawdust and Tinsel,Ingmar Bergman,412,47721,False
1953,The Earrings of Madame de...,Max Ophüls,445,27030,False
1953,Summer with Monika,Ingmar Bergman,614,47735,False
1953,Gate of Hell,Teinosuke Kinugasa,653,43349,False
1953,The War of the Worlds,Byron Haskin,1037,8974,False
1954,Seven Samurai,Akira Kurosawa,2,346,False
1954,Samurai I: Musashi Miyamoto,Hiroshi Inagaki,14,31372,False
1954,Diabolique,Henri-Georges Clouzot,35,24212,False
1954,La strada,Federico Fellini,219,405,False
1954,Touchez pas au grisbi,Jacques Becker,271,27430,False
1954,Sansho the Bailiff,Kenji Mizoguchi,386,20532,False
1954,Twenty-Four Eyes,Keisuke Kinoshita,442,43339,False
1954,Magnificent Obsession,Douglas Sirk,457,13457,False
1954,Hobson's Choice,David Lean,461,16410,False
1954,Senso,Luchino Visconti,556,43195,False
1954,Godzilla,Ishirō Honda,594,1678,False
1954,On the Waterfront,Elia Kazan,647,654,False
1954,Journey to Italy,Roberto Rossellini,675,2748,False
1954,Riot in Cell Block 11,Don Siegel,704,28023,False
1954,A Story from Chikamatsu,Kenji Mizoguchi,949,35861,False
1954,After the Curfew,Usmar Ismail,1046,172597,False
1955,Samurai II: Duel at Ichijoji Temple,Hiroshi Inagaki,15,31374,False
1955,Summertime,David Lean,22,50363,False
1955,All That Heaven Allows,Douglas Sirk,95,43316,False
1955,Rififi,Jules Dassin,115,934,False
1955,Ordet,Carl Theodor Dreyer,126,48035,False
1955,Richard III,Laurence Olivier,213,43323,False
1955,Smiles of a Summer Night,Ingmar Bergman,237,11700,False
1955,A Generation,Andrzej Wajda,283,43322,False
1955,Death of a Cyclist,Juan Antonio Bardem,427,72083,False
1955,Lola Montès,Max Ophüls,503,35987,False
1955,The Night of the Hunter,Charles Laughton,541,3112,False
1955,Kiss Me Deadly,Robert Aldrich,568,18030,False
1955,Pather Panchali,Satyajit Ray,784,5801,False
1955,Le amiche,Michelangelo Antonioni,817,46979,False
1955,Journey to the Beginning of Time,Karel Zeman,1015,8779,False
1956,Samurai III: Duel at Ganryu Island,Hiroshi Inagaki,16,31378,False
1956,And God Created Woman,Roger Vadim,77,8420,False
1956,Written on the Wind,Douglas Sirk,96,69605,False
1956,Bob le flambeur,Jean-Pierre Melville,150,26030,False
1956,Elena and Her Men,Jean Renoir,244,53156,False
1956,Crazed Fruit,Kō Nakahira,295,86664,False
1956,The Burmese Harp,Kon Ichikawa,379,33319,False
1956,La Pointe Courte,Agnès Varda,419,54436,False
1956,Bigger Than Life,Nicholas Ray,507,26036,False
1956,The Killing,Stanley Kubrick,575,247,False
1956,A Man Escaped,Robert Bresson,650,15244,False
1956,Jubal,Delmer Daves,656,43260,False
1956,Aparajito,Satyajit Ray,785,897,False
1957,The Seventh Seal,Ingmar Bergman,11,490,False
1957,Nights of Cabiria,Federico Fellini,49,19426,False
1957,Wild Strawberries,Ingmar Bergman,139,614,False
1957,The Cranes Are Flying,Mikhail Kalatozov,146,38360,False
1957,Throne of Blood,Akira Kurosawa,190,3777,False
1957,Kanał,Andrzej Wajda,284,29933,False
1957,Le notti bianche,Luchino Visconti,296,43231,False
1957,Paths of Glory,Stanley Kubrick,538,975,False
1957,Sweet Smell of Success,Alexander Mackendrick,555,976,False
1957,12 Angry Men,Sidney Lumet,591,389,False
1957,3:10 to Yuma,Delmer Daves,657,14168,False
1957,Forty Guns,Samuel Fuller,954,14837,False
1957,A Face in the Crowd,Elia Kazan,970,21849,False
1958,A Night to Remember,Roy Ward Baker,7,10971,False
1958,The Blob,Irvin S. Yeaworth,91,8851,False
1958,Fiend Without a Face,Arthur Crabtree,92,29347,False
1958,Mon oncle,Jacques Tati,111,427,False
1958,Big Deal on Madonna Street,Mario Monicelli,113,24382,False
1958,The Hidden Fortress,Akira Kurosawa,116,1059,False
1958,The Horse's Mouth,Ronald Neame,154,43139,False
1958,Ashes and Diamonds,Andrzej Wajda,285,5055,False
1958,The Haunted Strangler,Robert Day,367,86667,False
1958,The Lovers,Louis Malle,429,2574,True
1958,The Magician,Ingmar Bergman,537,29453,False
1958,The Music Room,Satyajit Ray,573,822,False
1958,Le beau Serge,Claude Chabrol,580,5562,False
1958,The Ballad of Narayama,Keisuke Kinoshita,645,116690,False
1958,The Fabulous World of Jules Verne,Karel Zeman,1016,19759,False
1959,The 400 Blows,François Truffaut,5,147,False
1959,Black Orpheus,Marcel Camus,48,40423,False
1959,Good Morning,Yasujirō Ozu,84,28276,False
1959,Ballad of a Soldier,Grigori Chukhrai,148,46592,False
1959,Hiroshima mon amour,Alain Resnais,196,5544,False
1959,Shadows,John Cassavetes,251,15484,True
