release_year,title,director,spine_num,tmdb_id,iffy
1970,The Confession,Costa Gavras,759,60859,False
1970,Valerie and Her Week of Wonders,Jaromil Jireš,761,46315,False
1970,Beyond the Valley of the Dolls,Russ Meyer,836,5722,False
1970,Multiple Maniacs,John Waters,863,25625,False
1970,Baal,Volker Schlöndorff,914,252767,False
1970,Wanda,Barbara Loden,965,80560,False
1970,Husbands,John Cassavetes,1029,52105,False
1970,Soleil Ô,Med Hondo,1049,195841,True
1971,Walkabout,Nicolas Roeg,10,36040,False
1971,Straw Dogs,Sam Peckinpah,182,994,False
1971,W.R.: Mysteries of the Organism,Dušan Makavejev,389,42529,False
1971,Two-Lane Blacktop,Monte Hellman,414,27236,False
1971,Mon oncle Antoine,Claude Jutra,438,74689,False
1971,Trafic,Jacques Tati,439,11378,False
1971,Drive@ He Said,Jack Nicholson,547,57215,False
1971,A Safe Place,Henry Jaglom,548,53898,False
1971,The Last Picture Show,Peter Bogdanovich,549,25188,False
1971,Harold and Maude,Hal Ashby,608,343,False
1971,Sunday Bloody Sunday,John Schlesinger,629,45938,False
1971,The Decameron,Pier Paolo Pasolini,632,33583,False
1971,Macbeth,Roman Polanski,726,11316,True
1971,Macbeth,Roman Polanski,726,304394,True
1971,The Emigrants,Jan Troell,796,40732,False
1971,A Touch of Zen,King Hu,825,44154,False
1971,McCabe & Mrs. Miller,Robert Altman,827,29005,False
1971,Death in Venice,Luchino Visconti,962,6619,False
1971,Klute,Alan J. Pakula,987,466,True
1972,Cries and Whispers,Ingmar Bergman,101,10238,False
1972,The Discreet Charm of the Bourgeoisie,Luis Buñuel,102,4593,False
1972,The Ruling Class,Peter Medak,132,30892,False
1972,Solaris,Andrei Tarkovsky,164,593,False
1972,Tout va bien,Jean-Luc Godard & Jean-Pierre Gorin,275,8071,False
1972,Murmur of the Heart,Louis Malle,328,42501,False
1972,Love in the Afternoon,Éric Rohmer,348,12116,False
1972,The King of Marvin Gardens,Bob Rafelson,550,50627,False
1972,The Canterbury Tales,Pier Paolo Pasolini,633,5691,True
1972,The Bitter Tears of Petra von Kant,Rainer Werner Fassbinder,740,10310,False
1972,State of Siege,Costa Gavras,760,91487,False
1972,The New Land,Jan Troell,797,42488,False
1972,Roma,Federico Fellini,848,11035,True
1972,Eight Hours Don't Make a Day,Rainer Werner Fassbinder,946,440456,False
1972,Downpour,Bahram Bayzai,1050,134346,False
1973,Flesh for Frankenstein,Paul Morrissey,27,3043,False
1973,The Harder They Come,Perry Henzell,83,7514,False
1973,Sisters,Brian De Palma,89,22307,True
1973,Sisters,Brian De Palma,89,656426,True
1973,Maîtresse,Barbet Schroeder,223,42458,False
1973,The Spirit of the Beehive,Víctor Erice,351,4495,False
1973,The Friends of Eddie Coyle,Peter Yates,475,25680,False
1973,World On a Wire,Rainer Werner Fassbinder,598,53094,False
1973,Badlands,Terrence Malick,651,3133,False
1973,Touki Bouki,Djibril Diop Mambéty,685,77771,False
1973,A River Called Titas,Ritwik Ghatak,687,93164,False
1973,Don't Look Now,Nicolas Roeg,745,931,False
1973,Day for Night,François Truffaut,769,1675,False
1973,Lady Snowblood,Toshiya Fujita,791,2487,False
1973,Fantastic Planet,René Laloux,820,16306,False
1974,Amarcord,Federico Fellini,4,7857,True
1974,Blood for Dracula,Paul Morrissey,28,25944,False
1974,The Night Porter,Liliana Cavani,59,26648,False
1974,Hearts and Minds,Peter Davis,156,42449,False
1974,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,198,216,False
1974,A Woman Under the Influence,John Cassavetes,253,29845,False
1974,The Phantom of Liberty,Luis Buñuel,290,5558,False
1974,Lacombe@ Lucien,Louis Malle,329,55368,False
1974,Sweet Movie,Dušan Makavejev,390,1559,False
1974,Arabian Nights,Pier Paolo Pasolini,634,47406,False
1974,Parade,Jacques Tati,731,58655,True
1974,Lady Snowblood: Love Song of Vengeance,Toshiya Fujita,782,18818,False
1974,A Poem Is a Naked Person,Les Blank,805,126423,False
1974,Alice in the Cities,Wim Wenders,814,2204,False
1974,Female Trouble,John Waters,929,14267,False
1975,Salò@ or The 120 Days of Sodom,Pier Paolo Pasolini,17,5336,False
1975,Picnic at Hanging Rock ,Peter Weir,29,11020,False
1975,The Magic Flute,Ingmar Bergman,71,44864,True
1975,The Lost Honor of Katharina Blum,Margarethe von Trotta & Volker Schlöndorff,177,4762,False
1975,F for Fake,Orson Welles,288,43003,False
1975,Overlord,Stuart Cooper,382,55343,False
1975,Jeanne Dielman@ 23 quai du Commerce@ 1080 Bruxelles,Chantal Akerman,484,44012,False
1975,Black Moon,Louis Malle,571,27361,False
1975,Nashville,Robert Altman,683,3121,False
1975,Wrong Move,Wim Wenders,815,20017,False
1975,Fox and His Friends,Rainer Werner Fassbinder,851,42254,False
1975,Barry Lyndon,Stanley Kubrick,897,3175,False
1975,Manila in the Claws of Light,Lino Brocka,926,70580,False
1975,Shampoo,Hal Ashby,947,31121,False
1976,Grey Gardens,David Maysles & Albert Maysles & Muffie Meyer & Susan Froemke & Ellen Hovde,123,17346,False
1976,Coup de grâce,Volker Schlöndorff,192,42226,False
1976,The Killing of a Chinese Bookie,John Cassavetes,254,32040,False
1976,The Man Who Fell to Earth,Nicolas Roeg,304,991,False
1976,Harlan County@ USA,Barbara Kopple,334,33324,False
1976,Cría cuervos ...,Carlos Saura,403,51857,False
1976,In the Realm of the Senses,Nagisa Oshima,466,5879,False
1976,Kings of the Road,Wim Wenders,816,10834,False
1976,Canoa: A Shameful Memory,Felipe Cazals,862,116982,False
1976,Insiang,Lino Brocka,874,108949,False
1976,Mikey and Nicky,Elaine May,957,59143,False
1977,The Last Wave,Peter Weir,142,72277,False
1977,That Obscure Object of Desire,Luis Buñuel,143,5781,False
1977,3 Women,Robert Altman,230,41662,True
1977,Opening Night,John Cassavetes,255,33665,False
1977,House,Nobuhiko Obayashi,539,25623,True
1977,¡Alambrista!,Robert M. Young,609,86975,False
1977,Eraserhead,David Lynch,725,985,False
1977,A Special Day,Ettore Scola,778,42229,False
1977,The American Friend,Wim Wenders,793,11222,False
1977,Jabberwocky,Terry Gilliam,903,11834,False
1977,One Sings@ the Other Doesn't,Agnès Varda,978,63318,False
1978,Autumn Sonata,Ingmar Bergman,60,12761,True
1978,Jubilee,Derek Jarman,191,41426,True
1978,Koko: A Talking Gorilla,Barbet Schroeder,340,54194,False
1978,Days of Heaven,Terrence Malick,409,16642,False
1978,Empire of Passion,Nagisa Oshima,467,49096,False
1978,La Cage aux Folles,Edouard Molinaro,671,4484,False
1978,Watership Down,Martin Rosen,748,11837,False
1978,Gates of Heaven,Errol Morris,751,24998,False
1978,The Tree of Wooden Clogs,Ermanno Olmi,854,31542,False
1978,I Wanna Hold Your Hand,Robert Zemeckis,967,55457,False
1978,An Unmarried Woman,Paul Mazursky,1032,38731,False
1979,Monty Python's Life of Brian,Terry Jones,61,583,False
1979,Love on the Run,François Truffaut,188,259,False
1979,The Tin Drum,Volker Schlöndorff,234,659,False
1979,Vengeance Is Mine,Shohei Imamura,384,42170,False
1979,Wise Blood,John Huston,470,42179,False
1979,Quadrophenia,Franc Roddam,624,10373,True
1979,Tess,Roman Polanski,697,11121,True
1979,All That Jazz,Bob Fosse,724,16858,False
1979,The Rose,Mark Rydell,757,16323,True
1979,The Black Stallion,Carroll Ballard,765,17264,False
1979,The Brood,David Cronenberg,777,28942,False
1979,The In-Laws,Arthur Hiller,823,19827,False
1979,Being There,Hal Ashby,864,10322,False
1979,Stalker,Andrei Tarkovsky,888,1398,False
1979,My Brilliant Career,Gillian Armstrong,973,16659,False
1979,Town Bloody Hall,Chris Hegedus & D. A. Pennebaker,1039,274381,False
1979,Christ Stopped at Eboli,Francesco Rosi,1043,42169,False
1980,The Long Good Friday,John Mackenzie,26,14807,False
1980,Hopscotch,Ronald Neame,163,32030,False
1980,Kagemusha,Akira Kurosawa,267,11953,False
1980,Bad Timing,Nicolas Roeg,303,33214,False
1980,Berlin Alexanderplatz,Rainer Werner Fassbinder,411,45560,True
1980,The Last Metro,François Truffaut,462,1716,False
1980,Heaven's Gate,Michael Cimino,636,10935,False
1980,Every Man for Himself,Jean-Luc Godard,744,113479,True
1980,Every Man for Himself,Jean-Luc Godard,744,186693,True
1980,Dressed to Kill,Brian De Palma,770,11033,False
1980,Breaker Morant,Bruce Beresford,773,13783,False
1980,The Elephant Man,David Lynch,1051,1955,False
1981,Time Bandits,Terry Gilliam,37,36819,False
1981,Coup de torchon,Bertrand Tavernier,106,35797,False
1981,Lola,Rainer Werner Fassbinder,206,2264,True
1981,My Dinner with André,Louis Malle,479,25468,False
1981,Blow Out,Brian De Palma,562,11644,False
1981,Trances,Ahmed El Maânouni,689,215407,False
1981,Thief,Michael Mann,691,11524,True
1981,Scanners,David Cronenberg,712,9538,False
1981,Vernon@ Florida,Errol Morris,752,30142,False
1981,The French Lieutenant's Woman,Karel Reisz,768,12537,True
1981,Polyester,John Waters,995,14269,False
1981,Pixote,Héctor Babenco,1047,42148,False
1982,Veronika Voss,Rainer Werner Fassbinder,205,2262,False
1982,Fanny and Alexander,Ingmar Bergman,263,5961,False
1982,Burden of Dreams,Les Blank,287,42124,False
1982,Missing,Costa Gavras,449,15600,True
1982,White Dog,Samuel Fuller,455,47955,False
1982,Identification of a Woman,Michelangelo Antonioni,585,53234,False
1982,Eating Raoul,Paul Bartel,625,28940,False
1982,Une chambre en ville,Jacques Demy,719,4269,False
1982,Tootsie,Sydney Pollack,738,9576,True
1982,The Ballad of Gregorio Cortez,Robert M. Young,940,218500,False
1982,Smithereens,Susan Seidelman,941,94066,False
1983,Videodrome,David Cronenberg,248,837,False
1983,À nos amours,Maurice Pialat,337,2282,False
1983,El Norte,Gregory Nava,458,17435,False
1983,Danton,Andrzej Wajda,464,4202,True
1983,Merry Christmas@ Mr. Lawrence,Nagisa Oshima,535,11948,False
1983,The Makioka Sisters,Kon Ichikawa,567,42116,False
1983,Koyaanisqatsi,Godfrey Reggio,640,11314,False
1983,The Big Chill,Lawrence Kasdan,720,12560,False
1983,Burroughs: The Movie,Howard Brookner,790,339790,False
1983,Rumble Fish,Francis Ford Coppola,869,232,False
1983,L'argent,Robert Bresson,886,42112,False
1983,El Sur,Víctor Erice,927,48139,False
1983,Local Hero,Bill Forsyth,994,11235,True
1984,This Is Spinal Tap,Rob Reiner,12,11031,False
1984,And the Ship Sails On,Federico Fellini,50,5622,False
1984,The Element of Crime,Lars von Trier,80,9063,False
1984,Secret Honor,Robert Altman,257,50034,False
1984,Stranger Than Paradise,Jim Jarmusch,400,469,False
1984,Under the Volcano,John Huston,410,41089,True
1984,Antonio Gaudi,Hiroshi Teshigahara,425,37239,False
1984,The Hit,Stephen Frears,469,19621,True
1984,Paris@ Texas,Wim Wenders,501,655,False
1984,The Times of Harvey Milk,Robert Epstein,557,33138,False
1984,Repo Man,Alex Cox,654,13820,False
1984,Love Streams,John Cassavetes,721,52109,False
1984,Blood Simple,Joel and Ethan Coen,834,11368,False
1984,Meantime,Mike Leigh,890,57978,False
1984,1984,Michael Radford,984,716015,True
1985,Brazil,Terry Gilliam,51,68,True
1985,Vagabond,Agnès Varda,74,44018,True
1985,My Life as a Dog,Lasse Hallström,178,8816,False
1985,Ran,Akira Kurosawa,316,11645,True
1985,Mishima: A Life in Four Chapters,Paul Schrader,432,27064,False
1985,Louie Bluie,Terry Zwigoff,532,87065,False
1985,Insignificance,Nicolas Roeg,566,42035,False
1985,Shoah,Claude Lanzmann,663,42044,False
1985,My Beautiful Laundrette,Stephen Frears,767,11240,False
1985,A Room with a View,James Ivory,775,11257,False
1985,Tampopo,Juzo Itami,868,11830,False
1985,Taipei Story,Edward Yang,879,106380,False
1985,Lost in America,Albert Brooks,887,27223,False
1985,Desert Hearts,Donna Deitch,902,294,False
1985,The Breakfast Club,John Hughes,905,2108,False
1985,Police Story,Jackie Chan,971,9056,False
1985,Come and See,Elem Klimov,1035,25237,False
1986,Sid & Nancy,Alex Cox,20,14924,False
1986,Mona Lisa,Neil Jordan,107,10002,False
1986,Down by Law,Jim Jarmusch,166,1554,False
1986,Something Wild,Jonathan Demme,563,11300,False
1986,True Stories,David Byrne,951,24798,False
1986,Blue Velvet,David Lynch,977,793,False
1986,Betty Blue,Jean-Jacques Beineix,1002,11986,False
1987,RoboCop,Paul Verhoeven,23,5548,False
1987,Au revoir les enfants,Louis Malle,330,1786,False
1987,Border Radio,Allison Anders & Dean Lent & Kurt Voss,362,37497,False
1987,House of Games,David Mamet,399,26719,True
1987,The Last Emperor,Bernardo Bertolucci,422,746,False
1987,Walker,Alex Cox,423,28448,False
1987,Wings of Desire,Wim Wenders,490,144,False
1987,Broadcast News,James L. Brooks,552,12626,False
1987,Babette's Feast,Gabriel Axel,665,11832,False
1987,The Princess Bride,Rob Reiner,948,2493,False
1987,Where Is the Friend's House?,Abbas Kiarostami,990,49964,False
1987,Matewan,John Sayles,999,24276,False
1988,Dead Ringers,David Cronenberg,21,9540,True
1988,The Unbearable Lightness of Being,Philip Kaufman,55,10644,False
1988,The Last Temptation of Christ,Martin Scorsese,70,11051,False
1988,The Vanishing,George Sluizer,133,8740,False
1988,Powaqqatsi,Godfrey Reggio,641,24348,False
1988,The Thin Blue Line,Errol Morris,753,14285,False
1988,Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,855,4203,False
1988,Bull Durham,Ron Shelton,936,287,False
1988,Police Story 2,Jackie Chan,972,10753,True
1989,The Killer,John Woo,8,10835,True
1989,For All Mankind,Al Reinert,54,20423,False
1989,Do the Right Thing,Spike Lee,97,925,True
1989,Sweetie,Jane Campion,356,65015,False
1989,Mystery Train,Jim Jarmusch,521,11305,False
1989,Revenge,Ermek Shinarbaev,876,216046,True
1989,Sex@ Lies@ and Videotape,Steven Soderbergh,938,1412,False
1989,A Dry White Season,Euzhan Palcy,953,32075,False
1990,An Angel at My Table,Jane Campion,301,2891,False
1990,Metropolitan,Whit Stillman,326,15389,False
1990,Close-Up,Abbas Kiarostami,519,30017,False
1990,Life Is Sweet,Mike Leigh,659,36843,False
1990,Tie Me Up! Tie Me Down!,Pedro Almodóvar,722,2469,False
1990,Mister Johnson,Bruce Beresford,774,123772,False
1990,Akira Kurosawa's Dreams,Akira Kurosawa,842,12516,False
1990,To Sleep with Anger,Charles Burnett,963,94725,False
1990,Paris Is Burning,Jennie Livingston,1018,31225,False
1990,The Comfort of Strangers,Paul Schrader,1041,41925,False
1991,The Silence of the Lambs,Jonathan Demme,13,274,True
1991,Naked Lunch,David Cronenberg,220,2742,False
1991,Slacker,Richard Linklater,247,14022,False
1991,My Own Private Idaho,Gus Van Sant,277,468,False
1991,Sólo con tu pareja,Alfonso Cuarón,353,49971,False
1991,The Double Life of Véronique,Krzysztof Kieślowski,359,1600,False
1991,Night on Earth,Jim Jarmusch,401,339,False
1991,Europa,Lars von Trier,454,9065,True
1991,Homicide,David Mamet,486,22828,True
1991,A Brief History of Time,Errol Morris,699,1358,False
1991,The Fisher King,Terry Gilliam,764,177,False
1991,A Brighter Summer Day,Edward Yang,804,15804,False
1991,Europa Europa,Agnieszka Holland,985,8996,False
1991,The Inland Sea,Lucille Carra,988,367453,False
1991,Until the End of the World,Wim Wenders,1007,10341,False
1991,The Prince of Tides,Barbra Streisand,1022,10333,False
1992,Hard Boiled,John Woo,9,11782,False
1992,Man Bites Dog,Rémy Belvaux & André Bonzel & Benoît Poelvoorde,165,10086,False
1992,Howards End,James Ivory,488,8293,False
1992,La vie de bohème,Aki Kaurismäki,693,28212,False
1992,The Long Day Closes,Terence Davies,694,49956,False
1992,The Player,Robert Altman,812,10403,True
1992,Twin Peaks: Fire Walk with Me,David Lynch,898,1923,False
1992,And Life Goes On,Abbas Kiarostami,991,83761,False
1993,Short Cuts,Robert Altman,265,695,False
1993,Naked,Mike Leigh,307,21450,True
1993,Dazed and Confused,Richard Linklater,336,9571,False
1993,Cronos,Guillermo del Toro,551,11655,False
1993,Three Colors: Blue,Krzysztof Kieślowski,588,108,False
1993,The War Room,D. A. Pennebaker & Chris Hegedus,602,26408,False
1993,King of the Hill,Steven Soderbergh,698,34024,False
1993,The Age of Innocence,Martin Scorsese,913,10436,False
1994,Hoop Dreams,Steve James,289,14275,False
1994,Before the Rain,Milčo Mančevski,436,19155,False
1994,Chungking Express,Wong Kar-wai,453,11104,False
1994,Three Colors: White,Krzysztof Kieślowski,589,109,False
1994,Three Colors: Red,Krzysztof Kieślowski,590,110,False
1994,Vanya on 42nd Street,Louis Malle,599,32636,False
1994,Shallow Grave,Danny Boyle,616,9905,False
1994,Barcelona,Whit Stillman,807,16771,False
1994,Cold Water,Olivier Assayas,944,64901,False
1994,Through the Olive Trees,Abbas Kiarostami,992,47104,False
1995,Carl Th. Dreyer—My Metier,Torben Skjodt Jensen,128,66133,False
1995,Kicking and Screaming,Noah Baumbach,349,28387,False
1995,La haine,Mathieu Kassovitz,381,406,False
1995,Crumb,Terry Zwigoff,533,26564,False
1995,Safe,Todd Haynes,739,32646,True
1995,Before Sunrise,Richard Linklater,857,76,False
1995,Dead Man,Jim Jarmusch,919,922,True
1996,The Rock,Michael Bay,108,9802,True
1996,Schizopolis,Steven Soderbergh,199,16375,False
1996,Bottle Rocket,Wes Anderson,450,13685,False
1996,La promesse,Jean-Pierre Dardenne & Luc Dardenne,620,24183,False
1996,Breaking the Waves,Lars von Trier,705,145,False
1996,When We Were Kings,Leon Gast,998,10548,False
1996,The Daytrippers,Greg Mottola,1001,49806,False
1997,Taste of Cherry,Abbas Kiarostami,45,30020,False
1997,Insomnia,Erik Skjoldbjærg,47,26610,False
1997,Chasing Amy,Kevin Smith,75,2255,False
1997,The Ice Storm,Ang Lee,426,68924,False
1997,Ossos,Pedro Costa,509,55700,False
1997,Gray's Anatomy,Steven Soderbergh,618,32686,False
1997,The Game,David Fincher,627,2649,True
1997,Funny Games,Michael Haneke,975,10234,False
1997,La vie de Jésus,Bruno Dumont,980,27067,False
1998,Armageddon,Michael Bay,40,95,True
1998,Rushmore,Wes Anderson,65,11545,False
1998,Fear and Loathing in Las Vegas,Terry Gilliam,175,1878,False
1998,The Last Days of Disco,Whit Stillman,485,16980,False
1998,The Thin Red Line,Terrence Malick,536,8741,False
1999,Ratcatcher,Lynne Ramsay,162,29698,False
1999,Ride with the Devil,Ang Lee,514,22267,True
1999,Ride with the Devil,Ang Lee,514,419311,True
1999,Topsy-Turvy,Mike Leigh,558,46435,False
1999,Being John Malkovich,Spike Jonze,611,492,False
1999,Rosetta,Jean-Pierre Dardenne & Luc Dardenne,621,11489,True
1999,Following,Christopher Nolan,638,11660,False
1999,Buena Vista Social Club,Wim Wenders,866,11779,False
1999,Election,Alexander Payne,904,9451,True
1999,The Virgin Suicides,Sofia Coppola,920,1443,False
1999,L'Humanité,Bruno Dumont,981,65296,False
1999,All About My Mother,Pedro Almodóvar,1012,99,False
1999,Beau Travail,Claire Denis,1042,14626,False
2000,In the Mood for Love,Wong Kar-wai,147,843,False
2000,Traffic,Steven Soderbergh,151,1900,True
2000,George Washington,David Gordon Green,152,18292,True
2000,A Constant Forge,Charles Kiselyak,256,66131,False
2000,Yi Yi,Edward Yang,339,25538,True
2000,In Vanda's Room,Pedro Costa,510,87063,False
2000,Code Unknown,Michael Haneke,780,30970,False
2000,Mysterious Object at Noon,Apichatpong Weerasethakul,875,93553,False
2000,Bamboozled,Spike Lee,1019,24664,False
2001,The Royal Tenenbaums,Wes Anderson,157,9428,False
2001,Fat Girl,Catherine Breillat,259,570,False
2001,Monsoon Wedding,Mira Nair,489,480,False
2001,The Devil's Backbone,Guillermo del Toro,666,1433,False
2001,La Ciénaga,Lucrecia Martel,743,58429,True
2001,Mulholland Dr.,David Lynch,779,1018,False
2001,Ghost World,Terry Zwigoff,872,1548,False
2001,The Piano Teacher,Michael Haneke,894,1791,False
2001,Hedwig and the Angry Inch,John Cameron Mitchell,982,13403,False
2002,Naqoyqatsi,Godfrey Reggio,642,21925,False
2002,Punch-Drunk Love,Paul Thomas Anderson,843,8051,False
2002,Bowling for Columbine,Michael Moore,928,1430,False
2002,Japón,Carlos Reygadas,968,36211,False
2004,The Life Aquatic with Steve Zissou,Wes Anderson,300,421,False
2004,Before Sunset,Richard Linklater,858,80,False
2005,The New World,Terrence Malick,826,11400,True
2005,The Squid and the Whale,Noah Baumbach,845,10707,False
2005,Me and You and Everyone We Know,Miranda July,1026,1382,False
2006,The Beales of Grey Gardens,Albert Maysles & David Maysles,361,47491,False
2006,Brand upon the Brain!,Guy Maddin,440,27359,False
2006,Bergman Island,Marie Nyreröd,477,106194,False
2006,Colossal Youth,Pedro Costa,511,82404,False
2006,Pan's Labyrinth,Guillermo del Toro,838,1417,False
2006,Old Joy,Kelly Reichardt,1008,26518,False
2007,The Secret of the Grain,Abdellatif Kechiche,527,8280,False
2007,The Darjeeling Limited,Wes Anderson,540,4538,False
2007,Secret Sunshine,Lee Chang-dong,576,2015,False
2007,My Winnipeg,Guy Maddin,741,13241,False
2007,4 Months@ 3 Weeks and 2 Days,Cristian Mungiu,958,2009,False
2008,The Curious Case of Benjamin Button,David Fincher,476,4922,False
2008,A Christmas Tale,Arnaud Desplechin,492,8892,True
2008,A Christmas Tale,Arnaud Desplechin,492,75725,True
2008,Gomorrah,Matteo Garrone,493,8882,True
2008,Revanche,Götz Spielmann,502,15451,True
2008,Hunger,Steve McQueen,504,10360,True
2008,Summer Hours,Olivier Assayas,513,8282,False
2008,Everlasting Moments,Jan Troell,520,17077,False
2008,Still Walking,Hirokazu Kore-eda,554,25050,False
2009,Antichrist,Lars von Trier,542,17609,False
2009,Fish Tank,Andrea Arnold,553,24469,False
2009,White Material,Claire Denis,560,46207,False
2009,Fantastic Mr. Fox,Wes Anderson,700,10315,False
2010,Life During Wartime,Todd Solondz,574,39800,False
2010,Carlos,Olivier Assayas,582,43434,True
2010,Tiny Furniture,Lena Dunham,597,47607,False
2010,Certified Copy,Abbas Kiarostami,612,48303,False
2010,And Everything Is Going Fine,Steven Soderbergh,617,50779,False
2011,Le Havre,Aki Kaurismäki,619,73532,False
2011,Weekend,Andrew Haigh,622,79120,True
2011,Weekend,Andrew Haigh,622,62881,True
2011,The Forgiveness of Blood,Joshua Marston,628,82624,False
2011,Pina,Wim Wenders,644,57276,True
2011,The Kid with a Bike,Jean-Pierre Dardenne & Luc Dardenne,646,63831,False
2011,The Tree of Life,Terrence Malick,942,8967,True
2012,Like Someone in Love,Abbas Kiarostami,708,102001,True
2012,Moonrise Kingdom,Wes Anderson,776,83666,True
2012,Beyond the Hills,Cristian Mungiu,923,103740,False
2013,Frances Ha,Noah Baumbach,681,121986,False
2013,Blue Is the Warmest Color,Abdellatif Kechiche,695,152584,False
2013,The Great Beauty,Paolo Sorrentino,702,179144,False
2013,Jellyfish Eyes,Takashi Murakami,788,228426,False
2013,Inside Llewyn Davis,Joel and Ethan Coen,794,86829,True
2013,Before Midnight,Richard Linklater,859,132344,False
2014,A Master Builder,Jonathan Demme,762,268536,False
2014,Two Days@ One Night,Jean-Pierre Dardenne & Luc Dardenne,771,221902,False
2014,Phoenix,Christian Petzold,809,254578,True
2014,Clouds of Sils Maria,Olivier Assayas,822,246860,False
2014,Boyhood,Richard Linklater,839,85350,False
2014,The Grand Budapest Hotel,Wes Anderson,1025,120467,False
2015,Ingrid Bergman: In Her Own Words,Stig Björkman,828,341106,False
2015,Heart of a Dog,Laurie Anderson,846,352197,False
2015,45 Years,Andrew Haigh,861,311291,False
2015,Dheepan,Jacques Audiard,871,314402,False
2015,The Lure,Agnieszka Smoczyńska,896,375742,False
2016,Cameraperson,Kirsten Johnson,853,376534,False
2016,Certain Women,Kelly Reichardt,893,340487,False
2016,David Lynch: The Art Life,Olivia Neergaard-Holm & Rick Barnes & John Nguyen,895,413765,False
2016,Personal Shopper,Olivier Assayas,899,340676,False
2016,I@ Daniel Blake,Ken Loach,906,374473,False
2016,Graduation,Cristian Mungiu,924,374458,True
2017,The Other Side of Hope,Aki Kaurismäki,922,429199,False
2017,24 Frames,Abbas Kiarostami,956,377269,False
2017,Let the Sunshine In,Claire Denis,976,431017,False
2018,Cold War,Paweł Pawlikowski,1005,517104,True
2018,Cold War,Paweł Pawlikowski,1005,440298,True
2018,Roma,Alfonso Cuarón,1014,426426,True
2018,Wildlife,Paul Dano,1031,417812,True
2019,Portrait of a Lady on Fire,Céline Sciamma,1034,531428,False
2019,Marriage Story,Noah Baumbach,1038,492188,True
